#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 04 19 00 100  5.0  6.0   1.0    12    MM  15 1011.1  28.4    MM    MM   MM -1.5    MM
2017 10 04 18 00 100  5.0  6.0   1.0     9    MM   9 1011.4  28.5    MM    MM   MM -1.5    MM
2017 10 04 17 00 110  5.0  7.0   0.9     9    MM  10 1011.9  28.4    MM    MM   MM -1.2    MM
2017 10 04 16 00 100  5.0  6.0   0.8     9    MM   8 1012.6  28.3    MM    MM   MM -0.3    MM
2017 10 04 15 00 110  5.0  6.0   0.9     8    MM  39 1012.9  28.3    MM    MM   MM +0.8    MM
2017 10 04 14 00 110  5.0  6.0   0.8     9    MM  38 1013.1  28.3    MM    MM   MM +1.5    MM
2017 10 04 13 00 110  4.0  5.0   1.6     9    MM  44 1012.9  28.3    MM    MM   MM +1.7    MM
2017 10 04 12 00 100  5.0  6.0   0.8     9    MM  65 1012.1  28.2    MM    MM   MM +1.1    MM
2017 10 04 11 00 110  5.0  6.0   0.8     9    MM  64 1011.6  28.1    MM    MM   MM +0.7    MM
2017 10 04 10 00 110  5.0  6.0   0.7    10    MM  68 1011.2  27.8    MM    MM   MM +0.0    MM
2017 10 04 09 00 100  4.0  6.0   0.8    10    MM  18 1011.0  27.8    MM    MM   MM -0.5    MM
2017 10 04 08 00 100  4.0  5.0   0.7     9    MM  19 1010.9  27.7    MM    MM   MM -1.0    MM
2017 10 04 07 00 100  4.0  5.0   0.8    10    MM  20 1011.0  27.9    MM    MM   MM -1.5    MM
2017 10 04 06 00  70  4.0  5.0   0.8     9    MM  22 1011.5  27.6    MM    MM   MM -1.4    MM
2017 10 04 05 00  70  4.0  4.0   1.4    12    MM  19 1011.9  27.7    MM    MM   MM -1.1    MM
2017 10 04 04 00  70  3.0  4.0   0.8    10    MM  45 1012.5  27.8    MM    MM   MM -0.3    MM
2017 10 04 03 00  70  4.0  5.0   0.8    10    MM  52 1012.9  27.8    MM    MM   MM +0.6    MM
2017 10 04 02 00  80  4.0  5.0   1.7    10    MM  57 1013.0  27.8    MM    MM   MM +1.2    MM
2017 10 04 01 00  70  4.0  5.0   0.9    10    MM  26 1012.8  27.1    MM    MM   MM +1.2    MM
2017 10 04 00 00  60  5.0  7.0   0.8    10    MM  20 1012.3  27.6    MM    MM   MM +1.0    MM
2017 10 03 23 00  50  5.0  6.0   0.8    11    MM  18 1011.8  27.6    MM    MM   MM +0.7    MM
2017 10 03 22 00  50  4.0  5.0   0.9     9    MM  21 1011.6  27.5    MM    MM   MM -0.0    MM
2017 10 03 21 00  50  6.0  8.0   0.8    10    MM  21 1011.3  27.9    MM    MM   MM -0.9    MM
2017 10 03 20 00  60  6.0  8.0   0.8    11    MM  25 1011.1  26.9    MM    MM   MM -1.5    MM
